"imaging_files","direct_files","path"
"321","33","L:\02_Duchenne Muscular Dystrophy\Kiley\Raw data\Confocal\PNAS paper_100x health\171128_HKK5_CB3%D5"
"321","33","L:\02_Duchenne Muscular Dystrophy\Manuscripts\JPS518 paper\data PNAS\100x health\171128_HKK5_CB3%D5"
"317","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Eggs\Test\ZW495"
"315","27","L:\02_Duchenne Muscular Dystrophy\Kiley\Raw data\Confocal\PNAS paper_100x health\171130_HKK22_CB3%D5"
"315","27","L:\02_Duchenne Muscular Dystrophy\Manuscripts\JPS518 paper\data PNAS\100x health\171130_HKK22_CB3%D5"
"296","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Eggs\old\VG01(AVG7)"
"294","0","L:\10_AGVG LAB\Confocal E drive backup\Jessica\220602JA\Worm2"
"292","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\AndresDys1-8-26-14"
"279","0","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\Figures for pezo-1 draft\Figure 1 PEZO localization\Pezo tail quant_images"
"262","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\171101_HKK22_ISD1_100x"
"262","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\171101_HKK22_ISD1_100x"
"259","19","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\Egg Retention"
"257","0","L:\03_Magnetic Transduction\Aalimah\mars data for parallel experiment\Mars vs Earth GFP\gen 0"
"256","2","L:\02_Duchenne Muscular Dystrophy\Shifat\Brainbow"
"256","8","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\AVG60 RNAi pezo-1\240312_AVG60_L4440"
"250","1","L:\02_Duchenne Muscular Dystrophy\Adina\LASX"
"245","0","L:\02_Duchenne Muscular Dystrophy\Danny\1_Skeletal muscle cells\PMCA\Caloxin 1b1 myoblasts\colored photos"
"240","8","L:\02_Duchenne Muscular Dystrophy\Adina\AVG60 crawl burrow swim\230526_AVG60_tail_crawl"
"240","0","L:\10_AGVG LAB\Confocal E drive backup\Jessica\220602JA\Worm1"
"237","0","L:\05_Proprioception\Adina\PEZO-1 data for MANUSCRIPT\to upload_converted\Figure 9\Figure 9C E"
"222","1","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\Egg 3-Fold Brightness"
"221","1","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\D1 Adult Brightness"
"216","0","L:\10_AGVG LAB\Confocal E drive backup\Jessica\220607JA\E isoform\Worm1"
"215","20","L:\02_Duchenne Muscular Dystrophy\Adina\AVG60 crawl burrow swim\230504_AVG60_burrow"
"212","0","L:\02_Duchenne Muscular Dystrophy\Danny\4_Cloning\SnapGene_NoGood\Document"
"211","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\171023_HKK5_Cb1pc_D3_100x"
"211","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\171023_HKK5_Cb1pc_D3_100x"
"209","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Eggs\42219_ZW495_pretzel"
"205","0","L:\02_Duchenne Muscular Dystrophy\Kiley\Raw data\Confocal\PNAS paper_100x health\171128_HKK5_CB3%D5_100x"
"205","0","L:\02_Duchenne Muscular Dystrophy\Manuscripts\JPS518 paper\data PNAS\100x health\171128_HKK5_CB3%D5_100x"
"198","0","L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\171128_HKK5_CB3%D5_100x"
"198","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\171128_HKK5_CB3%D5_100x"
"198","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\171128_HKK5_CB3%D5_100x"
"197","0","L:\02_Duchenne Muscular Dystrophy\Mackenzie\14) RGB Sequences\06.11.25\L4440 DAY 3 CRAWL 1 -done"
"197","43","L:\10_AGVG LAB\Confocal E drive backup\Danny"
"196","0","L:\02_Duchenne Muscular Dystrophy\Danny\4_Cloning\SnapGene_NoGood\Common\ProxyIcons"
"194","0","L:\02_Duchenne Muscular Dystrophy\Adina\AVG60 crawl burrow swim\AVG60\230227_AVG60_swim"
"189","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Eggs\Test\AVG6"
"189","0","L:\02_Duchenne Muscular Dystrophy\Shifat\Brainbow\AVG57 dys-1E\head"
"189","0","L:\02_Duchenne Muscular Dystrophy\Shifat\Brainbow\AVG57 dys-1E"
"187","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\171110_HKK5_ISD5_100x"
"187","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\171110_HKK5_ISD5_100x"
"186","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\180111_HKK5_IBD1_100x"
"186","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\180111_HKK5_IBD1_100x"
"183","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\180109_HKK5_CB1%D1_100x"
"183","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\171113_HKK5_IBD5_100x"
"183","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\180109_HKK5_CB1%D1_100x"
"183","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\171113_HKK5_IBD5_100x"
"182","1","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\Egg Hatching Time"
"181","0","L:\02_Duchenne Muscular Dystrophy\Mackenzie\14) RGB Sequences\06.25.25\AVG77 DYS1AJ DAY 1 CRAWL 3 - done"
"181","0","L:\02_Duchenne Muscular Dystrophy\Mackenzie\14) RGB Sequences\08.01.25\AVG77 DAY 1 CRAWL 3 - done"
"179","0","L:\05_Proprioception\Muscle growth paper\Images for database"
"178","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Eggs\42219_AVG6_pretzel"
"177","1","L:\02_Duchenne Muscular Dystrophy\Danny\1_Skeletal muscle cells\PMCA\shRNA PMCA1\fails\R01 250603 extra"
"176","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\180111_HKK5_CSD3_100x"
"176","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\180111_HKK5_CSD3_100x"
"169","0","L:\02_Duchenne Muscular Dystrophy\Mackenzie\14) RGB Sequences\08.06.25\L4440 DAY 3 CRAWL 4"
"166","0","L:\02_Duchenne Muscular Dystrophy\Mackenzie\14) RGB Sequences\06.25.25\AVG77 DYS1AJ DAY 1 CRAWL 2 - reupload images"
"165","0","L:\02_Duchenne Muscular Dystrophy\Danny\1_Skeletal muscle cells\PMCA\Caloxin 1b1 myoblasts\extra"
"165","0","L:\02_Duchenne Muscular Dystrophy\Danny\1_Skeletal muscle cells\PMCA\shRNA PMCA1\R01"
"162","1","L:\02_Duchenne Muscular Dystrophy\Kiley\Raw data\Confocal\PNAS paper_100x health\171015_HKK5_CD5\worm 12"
"162","1","L:\02_Duchenne Muscular Dystrophy\Manuscripts\JPS518 paper\data PNAS\100x health\171015_HKK5_CD5\worm 12"
"160","1","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\L1 Brightness"
"158","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\older confocal not in paper\180316_HKK5_CB6%D3"
"157","0","L:\02_Duchenne Muscular Dystrophy\Mackenzie\14) RGB Sequences\06.23.25\AVG77 L4440 DAY 1 CRAWL 1 - done"
"156","0","L:\02_Duchenne Muscular Dystrophy\Danny\3_C. elegans\1_PMCA paper\dTBC worm paralysis\dataset no good"
"156","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\9918_N2_CBD5_Jc-9 AO"
"155","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\171103_HKK22_ISD3_100x"
"155","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\171103_HKK22_ISD3_100x"
"153","18","L:\02_Duchenne Muscular Dystrophy\Adina\Dys expression_need to download"
"153","0","L:\03_Magnetic Transduction\'tope\Thermo"
"153","0","L:\03_Magnetic Transduction\Aalimah\mars data for parallel experiment\Mars vs Earth GFP\gen 2"
"152","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\PNAS draft\All the 100X\171107_HKK5_ISD3_100x"
"152","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\171107_HKK5_ISD3_100x"
"152","0","L:\10_AGVG LAB\Confocal E drive backup\Jessica\220602JA\Worm5"
"152","0","L:\10_AGVG LAB\Confocal E drive backup\Jessica\220602JA\Worm3"
"151","2","L:\02_Duchenne Muscular Dystrophy\Danny\1_Skeletal muscle cells\PMCA\shRNA PMCA1\fails\R06 wt only no puro 24h image"
"151","0","L:\02_Duchenne Muscular Dystrophy\Raw Data\Confocal images\older confocal not in paper\180316_HKK22_CB6%D3"
"150","0","L:\10_AGVG LAB\Confocal E drive backup\Jessica\220607JA\D-J isoforms\Worm3"
