path,ext,size_bytes,mtime
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\112318_N2_CD5_20x muscle size\w6\w6.lsm,.lsm,39526412,2018-11-24
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\112318_N2_CD5_20x muscle size\w7\w7.lsm,.lsm,27627341,2018-11-24
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\112318_N2_CD5_20x muscle size\w8\w8.lsm,.lsm,60193012,2018-11-24
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\112318_N2_CD5_20x muscle size\w9\w9.lsm,.lsm,50485964,2018-11-24
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\112718_BZ33_CD5_100x\full worm\BZ33_CD5\BZ33_CD5_1.lsm,.lsm,6960505,2018-11-28
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\112718_BZ33_CD5_100x\full worm\BZ33_CD5\BZ33_CD5_10.lsm,.lsm,7899885,2018-11-28
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\112718_BZ33_CD5_100x\full worm\BZ33_CD5\BZ33_CD5_11.lsm,.lsm,6960507,2018-11-28
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\112718_BZ33_CD5_100x\full worm\BZ33_CD5\BZ33_CD5_12.lsm,.lsm,8839263,2018-11-28
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\112718_BZ33_CD5_100x\full worm\BZ33_CD5\BZ33_CD5_13.lsm,.lsm,6647381,2018-11-28
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\112718_BZ33_CD5_100x\full worm\BZ33_CD5\BZ33_CD5_14.lsm,.lsm,8213011,2018-11-28
L:\02_Duchenne Muscular Dystrophy\Kiley\Papers\Excercise Paper\burrow and crawl muscle health\112718_BZ33_CD5_100x\full worm\BZ33_CD5\BZ33_CD5_15.lsm,.lsm,8526137,2018-11-28
