path,ext,size_bytes,mtime
\\SLB122E-01\Vidal-Gadea_lab\Adina\240514_AVG72_Amsh-gfp_unc-47-mch.lif,.lif,3467835175,2024-05-14
\\SLB122E-01\Vidal-Gadea_lab\Adina\240516_AVG60_L1.lif,.lif,2890077641,2024-05-16
\\SLB122E-01\Vidal-Gadea_lab\Adina\240516_N2_L1_phalloidin.lif,.lif,2420399015,2024-05-16
\\SLB122E-01\Vidal-Gadea_lab\Adina\240517_ATU2301_L1.lif,.lif,3528113425,2024-05-17
\\SLB122E-01\Vidal-Gadea_lab\Adina\240517_ATU2301_Larva1_2.lif,.lif,1928593071,2024-05-17
\\SLB122E-01\Vidal-Gadea_lab\Adina\240517_ATU2301_muscles enlarged_day1Adult.lif,.lif,3907724460,2024-05-17
\\SLB122E-01\Vidal-Gadea_lab\Adina\240517_ATU2301_one worm.lif,.lif,14997845743,2024-05-17
\\SLB122E-01\Vidal-Gadea_lab\Adina\240517_AVG60_L1.lif,.lif,3337776711,2024-05-17
\\SLB122E-01\Vidal-Gadea_lab\Adina\240520_AVG63_dys-1E+translational.lif,.lif,8472205567,2024-05-20
\\SLB122E-01\Vidal-Gadea_lab\Adina\240520_N2_L1_phalloidin.lif,.lif,1792124377,2024-05-20
\\SLB122E-01\Vidal-Gadea_lab\Adina\240521_AVG60_L1.lif,.lif,1626726125,2024-05-21
\\SLB122E-01\Vidal-Gadea_lab\Adina\240522_ATU2301_movie.lif,.lif,162918209,2024-05-22
\\SLB122E-01\Vidal-Gadea_lab\Adina\240526_AVG60_day5_1.lif,.lif,7196264317,2024-05-26
\\SLB122E-01\Vidal-Gadea_lab\Adina\240526_AVG60_day5_2.lif,.lif,4530360039,2024-05-26
\\SLB122E-01\Vidal-Gadea_lab\Adina\240528_ATU2301_day5A_L4440.lif,.lif,6705636623,2024-05-28
\\SLB122E-01\Vidal-Gadea_lab\Adina\240528_ATU2301_day5A_RNAi_dys-1.lif,.lif,6014399501,2024-05-28
\\SLB122E-01\Vidal-Gadea_lab\Adina\240603_AVG77_RGB_1.lif,.lif,15586135653,2025-02-23
\\SLB122E-01\Vidal-Gadea_lab\Adina\240603_AVG77_RGB_2_good.lif,.lif,6197898001,2024-06-03
\\SLB122E-01\Vidal-Gadea_lab\Adina\240603_AVG77_RGB_3.lif,.lif,14314412083,2024-06-03
\\SLB122E-01\Vidal-Gadea_lab\Adina\240603_AVG77_RGB_film.lif,.lif,35140843,2024-06-03
\\SLB122E-01\Vidal-Gadea_lab\Adina\240603_AVG77_RGB_resonant scan .lif,.lif,646322217,2024-06-03
\\SLB122E-01\Vidal-Gadea_lab\Adina\240605_AG467_tail pezo quantification.lif,.lif,1993251579,2024-06-05
\\SLB122E-01\Vidal-Gadea_lab\Adina\240607_Aalimah_filtrate_isolate_GFP_amsh.lif,.lif,191659353,2024-06-07
\\SLB122E-01\Vidal-Gadea_lab\Adina\240607_N2_crawl_day1A_mid and tail.lif,.lif,11925578967,2024-06-07
\\SLB122E-01\Vidal-Gadea_lab\Adina\240607_N2_crawl_day1A_tail_phall.lif,.lif,12850180349,2024-06-07
\\SLB122E-01\Vidal-Gadea_lab\Adina\240607_N2_crawl_day1A_tail_phalloidin.lif,.lif,10362777167,2024-06-07
\\SLB122E-01\Vidal-Gadea_lab\Adina\240607_VG03_day1A_phalloidin_2.lif,.lif,13022687267,2024-06-07
\\SLB122E-01\Vidal-Gadea_lab\Adina\240607_VG03_phalloidin_1.lif,.lif,11709803223,2024-06-07
\\SLB122E-01\Vidal-Gadea_lab\Adina\240618_BZ33_day5A_crawl_phall_1.lif,.lif,12937637141,2024-06-18
\\SLB122E-01\Vidal-Gadea_lab\Adina\240618_BZ33_day5A_crawl_phall_2.lif,.lif,13645057769,2024-06-18
\\SLB122E-01\Vidal-Gadea_lab\Adina\240618_BZ33_day5A_crawl_phall_3.lif,.lif,13226673337,2024-06-18
\\SLB122E-01\Vidal-Gadea_lab\Adina\240618_BZ33_day5A_crawl_phall_4.lif,.lif,14008102319,2024-06-18
\\SLB122E-01\Vidal-Gadea_lab\Adina\240618_BZ33_day5A_crawl_phall_5.lif,.lif,8022612535,2024-06-18
\\SLB122E-01\Vidal-Gadea_lab\Adina\240618_N2_day5A_crawl_phall.lif,.lif,5594389157,2024-06-18
\\SLB122E-01\Vidal-Gadea_lab\Adina\240619_BZ33_day5A_crawl_phall_6.lif,.lif,16677370709,2024-06-19
\\SLB122E-01\Vidal-Gadea_lab\Adina\240619_BZ33_day5A_crawl_phall_7.lif,.lif,11704779497,2024-06-19
\\SLB122E-01\Vidal-Gadea_lab\Adina\240619_BZ33_day5A_crawl_phall_8.lif,.lif,12452298839,2024-06-19
\\SLB122E-01\Vidal-Gadea_lab\Adina\240619_BZ33_day5A_crawl_phall_9.lif,.lif,7653881725,2024-06-19
\\SLB122E-01\Vidal-Gadea_lab\Adina\240706_N2_day1A_2nd gen_swim_phall_1.lif,.lif,8126401323,2024-07-06
\\SLB122E-01\Vidal-Gadea_lab\Adina\240706_N2_day1A_2nd gen_swim_phall_2.lif,.lif,5786501107,2024-07-06
\\SLB122E-01\Vidal-Gadea_lab\Adina\240706_VG02.lif,.lif,1856958251,2024-07-06
\\SLB122E-01\Vidal-Gadea_lab\Adina\240719_AVG77_GCaMP_for muscle number id.lif,.lif,973313603,2024-07-19
\\SLB122E-01\Vidal-Gadea_lab\Adina\240719_ZW495_tail gap recording.lif,.lif,5589822863,2024-07-19
\\SLB122E-01\Vidal-Gadea_lab\Adina\240729_muscles_myo-3_mcherry.lif,.lif,1325681599,2024-07-29
\\SLB122E-01\Vidal-Gadea_lab\Adina\240814_human cells_differentiation index.lif,.lif,2884619305,2024-08-14
\\SLB122E-01\Vidal-Gadea_lab\Adina\240815_MTX_intestine GFP.lif,.lif,4179490499,2024-08-21
\\SLB122E-01\Vidal-Gadea_lab\Adina\240902_CZ13799_RNAi_GFP_neurons.lif,.lif,3012830257,2024-09-02
\\SLB122E-01\Vidal-Gadea_lab\Adina\240902_CZ13799_RNAi_L44440_neurons.lif,.lif,2988841319,2024-09-02
\\SLB122E-01\Vidal-Gadea_lab\Adina\240903_SJ4200_RNAi_GFP_muscles.lif,.lif,810938373,2024-09-03
\\SLB122E-01\Vidal-Gadea_lab\Adina\240903_SJ4200_RNAi_L4440_muscles.lif,.lif,468333569,2024-09-03
\\SLB122E-01\Vidal-Gadea_lab\Adina\240905_CZ13799_RNAi_GFP_neurons.lif,.lif,2763651407,2024-09-05
\\SLB122E-01\Vidal-Gadea_lab\Adina\240905_CZ13799_RNAi_L4440_neurons.lif,.lif,3090387327,2024-09-05
\\SLB122E-01\Vidal-Gadea_lab\Adina\240906_SJ4200_RNAi_GFP_muscles.lif,.lif,2771801239,2024-09-06
\\SLB122E-01\Vidal-Gadea_lab\Adina\240906_SJ4200_RNAi_L4440_muscles.lif,.lif,3187068867,2024-09-06
\\SLB122E-01\Vidal-Gadea_lab\Adina\240910_Ca_diff+.lif,.lif,839858579,2024-09-15
\\SLB122E-01\Vidal-Gadea_lab\Adina\240912_AVG68_dys-1DJ.lif,.lif,10466284070,2024-09-12
\\SLB122E-01\Vidal-Gadea_lab\Adina\240917_ATU2301_Aalimah.lif,.lif,2233871181,2024-09-17
\\SLB122E-01\Vidal-Gadea_lab\Adina\240917_N2_day5A_phalloidin.lif,.lif,1023543339,2026-06-11
\\SLB122E-01\Vidal-Gadea_lab\Adina\240917_VG02_day5A_phalloidin+WGA.lif,.lif,2369001509,2024-09-17
\\SLB122E-01\Vidal-Gadea_lab\Adina\240917_VG02_day5A_phalloidin.lif,.lif,885717874,2024-09-17
\\SLB122E-01\Vidal-Gadea_lab\Adina\240918_pmca_myoblasts.lif,.lif,327939127,2024-09-18
\\SLB122E-01\Vidal-Gadea_lab\Adina\240921_ATU2301_GFP_10x_Aalimah.lif,.lif,619142969,2024-10-03
\\SLB122E-01\Vidal-Gadea_lab\Adina\240921_ATU2301_mCherry_63x_Aalimah.lif,.lif,14389725253,2024-10-11
\\SLB122E-01\Vidal-Gadea_lab\Adina\240921_ATU2301_mCherry_63x_Aalimah_2.lif,.lif,7320063701,2024-09-30
\\SLB122E-01\Vidal-Gadea_lab\Adina\240924_AVG60_RNAi_pezo-1.lif,.lif,1711675635,2024-09-24
\\SLB122E-01\Vidal-Gadea_lab\Adina\240924_AVG60_RNAi_pezo-1_2nd_gen.lif,.lif,5250137841,2024-09-29
\\SLB122E-01\Vidal-Gadea_lab\Adina\240926_AVG60_RNAi_pezo-1.lif,.lif,502584515,2024-09-26
\\SLB122E-01\Vidal-Gadea_lab\Adina\241121_AVG63_uterine muscle.lif,.lif,6802373215,2024-11-21
\\SLB122E-01\Vidal-Gadea_lab\Adina\241202_COP1367_day5A_phalloidin_1.lif,.lif,9166060161,2024-12-02
\\SLB122E-01\Vidal-Gadea_lab\Adina\241202_COP1367_day5A_phalloidin_2.lif,.lif,7825657496,2024-12-02
\\SLB122E-01\Vidal-Gadea_lab\Adina\241217_AVG64xVG02.lif,.lif,14492035999,2024-12-18
\\SLB122E-01\Vidal-Gadea_lab\Adina\241223_AVG83_gcy23+ftn+Amsh.lif,.lif,7500331351,2024-12-23
\\SLB122E-01\Vidal-Gadea_lab\Adina\241223_AVG83_gcy23+ftn2+Amsh_2.lif,.lif,4306677903,2024-12-26
\\SLB122E-01\Vidal-Gadea_lab\Adina\241224_AVG63_BWM_translational.lif,.lif,2946754629,2024-12-24
\\SLB122E-01\Vidal-Gadea_lab\Adina\241224_AVG63_day1Adult_representative .lif,.lif,1662674105,2024-12-24
\\SLB122E-01\Vidal-Gadea_lab\Adina\241224_AVG63_day5A_smooth muscles.lif,.lif,1736905053,2024-12-24
\\SLB122E-01\Vidal-Gadea_lab\Adina\241224_AVG63_L1.lif,.lif,974157059,2024-12-24
\\SLB122E-01\Vidal-Gadea_lab\Adina\241224_AVG63_L4.lif,.lif,3940411511,2024-12-25
\\SLB122E-01\Vidal-Gadea_lab\Adina\241224_AVG63_neuron.lif,.lif,2467242467,2024-12-24
\\SLB122E-01\Vidal-Gadea_lab\Adina\241225_AVG63_day1Adult_head+mid.lif,.lif,5163573291,2024-12-25
\\SLB122E-01\Vidal-Gadea_lab\Adina\241226_AVG84_dys-1ERsc_day5A_smooth muscles.lif,.lif,4349321259,2024-12-26
